id,study_hours_per_day,sleep_hours,phone_usage_hours,focus_score,screentime_to_sleep_ratio,diligence_score,recreation_effort_minutes,recreation_effort_score,study_efficiency,sleep_quality,productivity_index,study_focus_interaction,screentime_focus_interaction,screentime_diligence_interaction,attendance_focus_interaction,breaks_study_efficiency,stress_level_bin,productivity_score
5894,4.56,7.61,1.7,68,1.8670345552489818,-0.010128300251863528,558.6,7,1.6888888888888887,517.48,163.474176,310.08,966.2800000000001,-0.14392314657898075,3584.96,3.3777777777777773,2,55.29
3728,7.95,8.17,4.24,69,1.6925712887039532,0.8454902548132402,605.2,7,1.5171755725190839,563.73,480.0361050000001,548.5500000000001,954.27,11.693130224067113,6038.1900000000005,13.654580152671755,0,78.68
8958,6.06,9.02,3.17,57,1.5419576543620443,-0.10306036477060353,574.1999999999999,5,1.4532374100719423,514.14,250.04953799999996,345.41999999999996,792.87,-1.433569673959095,4126.2300000000005,7.2661870503597115,3,60.66
7671,1.4,8.06,2.35,34,0.7927056196501675,-0.712279623147822,593.6,7,0.417910447761194,274.04,41.63571999999999,47.599999999999994,217.26000000000002,-4.551466791914583,2973.98,1.671641791044776,2,37.51
5999,9.27,7.39,10.68,37,1.8969016371262346,-0.44493166247148297,509.4,5,0.7936643835616438,273.43,163.469034,342.99,518.74,-6.237941907850191,1763.4199999999998,8.730308219178083,2,50.72
5751,1.56,9.99,3.34,97,0.8677810029026124,-0.0540431054218428,688.4,7,0.35944700460829493,969.03,88.658388,151.32,840.99,-0.46855372400737705,5683.2300000000005,1.7972350230414746,4,52.13
1688,1.38,7.59,7.01,85,1.5795020418917138,0.6552184394273618,483.4,4,0.17228464419475656,645.15,67.77594,117.3,1019.15,7.856069088734068,4911.3,0.8614232209737828,0,43.56
6836,0.85,3.88,3.92,67,1.3682040711156918,0.1264979245307492,247.79999999999998,0,0.17276422764227642,259.96,26.003369999999997,56.949999999999996,355.77,0.6717039792582782,3059.22,1.9004065040650406,3,22.0
6536,1.1,6.73,8.01,85,1.542118555935225,0.3646284497920471,404.8,2,0.12208657047724751,572.0500000000001,53.91210000000001,93.50000000000001,882.3000000000001,3.7848433088414493,4901.099999999999,0.24417314095449502,0,39.47
4842,8.03,3.79,4.22,97,2.1788446320232127,0.0019146237765542324,292.4,2,1.5383141762452106,367.63,432.21715900000004,778.91,801.22,0.01581479239433796,5382.53,4.614942528735632,0,71.12
15844,2.56,3.6,1.07,99,1.9522354901416274,-0.36983753705691763,230.0,0,1.2367149758454106,356.40000000000003,125.22470399999999,253.44,695.97,-2.599957885510131,4891.589999999999,11.130434782608695,0,51.76
196,6.89,4.73,3.07,78,2.4096385542168672,0.7944358220767693,311.8,2,1.6928746928746927,368.94000000000005,446.70350399999995,537.42,889.2,9.056568371675171,6483.360000000001,10.157248157248157,4,59.21
518,7.01,9.81,4.04,35,0.358780960146774,-0.29096142069721553,677.6,7,1.3908730158730158,343.35,126.1099,245.35,123.2,-1.0241842008541986,1799.0,9.73611111111111,1,60.36
10581,1.68,8.94,9.39,68,1.1408119897103233,-0.08003098722615469,551.4,4,0.1616939364773821,607.92,87.01660799999999,114.24,693.5999999999999,-0.8163160697067778,5179.56,0.3233878729547642,2,37.8
13320,4.7,9.36,1.7,92,0.9475483388526867,0.41201472474419765,642.5999999999999,7,1.7407407407407407,861.1199999999999,233.97164,432.40000000000003,816.04,3.6545706084810328,4978.12,3.4814814814814814,2,69.69
10790,9.58,8.89,8.45,86,1.1371049375773252,-0.2101745000241786,609.4000000000001,7,1.0137566137566139,764.5400000000001,419.107756,823.88,869.4599999999999,-2.1248641952444456,4374.82,2.0275132275132277,4,71.78
16939,0.6,5.01,11.64,57,2.5763320694472163,0.21285036973999313,326.59999999999997,2,0.04746835443037974,285.57,23.191019999999998,34.199999999999996,735.87,2.7478982733433113,3865.17,0.47468354430379744,1,16.14
841,2.51,5.15,8.97,37,0.629004076878276,-0.4455860216277945,329.0,1,0.25175526579739216,190.55,77.78791199999999,92.86999999999999,119.88000000000001,-1.4436987100740541,3099.1200000000003,2.0140421263791373,2,24.11
9507,5.36,9.28,11.43,81,1.163667708221097,-0.032713448843018855,561.8,4,0.4312148028962189,751.68,266.704488,434.16,874.8000000000001,-0.3533052475046037,4975.83,5.6057924376508455,2,53.12
10482,6.59,7.73,10.61,50,1.8833268658647002,0.7845678920754976,475.8,3,0.5676141257536607,386.5,321.82265,329.5,727.9999999999999,11.423308508619243,4883.5,2.8380706287683033,2,51.41
5174,4.34,6.28,9.94,36,1.4440375736347715,-0.8305439050290442,404.8,3,0.396709323583181,226.08,114.91452,156.24,326.52,-7.533033218613431,2647.7999999999997,1.190127970749543,2,31.51
19946,6.82,6.14,2.84,68,1.3694837974271292,0.966110461956457,440.4,4,1.7760416666666667,417.52,439.04159200000004,463.76,571.88,8.124988985053804,6437.56,19.536458333333336,4,62.79
14469,3.32,6.18,9.22,68,2.2569163565766055,0.3073353833092309,455.79999999999995,5,0.324853228962818,420.24,217.63263999999998,225.76,948.5999999999999,4.2873285971637705,6555.200000000001,0.649706457925636,3,39.9
7608,4.09,8.85,8.72,41,1.372726245621964,-0.8792617728400524,539.0,4,0.42078189300411517,362.84999999999997,101.754292,167.69,498.1500000000001,-10.683030540006637,2487.88,5.890946502057613,2,38.88
11264,8.93,5.79,7.86,68,2.279399067518563,0.6920104677991729,438.4,4,1.007900677200903,393.72,561.0897600000001,607.24,897.5999999999999,9.134538174949082,6283.200000000001,1.007900677200903,2,66.78
14020,9.55,8.16,5.35,92,0.9520892047543194,0.4363328310506702,502.6,3,1.503937007874016,750.72,486.56868000000003,878.6,714.8399999999999,3.3903060972637076,5094.96,18.047244094488192,4,76.29
18601,5.53,3.71,10.14,71,2.48181083265966,0.4568319698761722,264.6,1,0.4964093357271095,263.41,245.31522399999997,392.63,653.91,4.207422442559546,4436.08,1.985637342908438,1,41.09
19263,6.42,6.55,1.81,60,2.141657762173714,0.3595742379912236,496.0,6,2.284697508896797,393.0,373.56696000000005,385.2,841.8000000000001,5.044826559016868,5818.8,27.416370106761565,4,60.54
7097,0.66,9.49,8.42,97,1.2074596986618904,-0.03549205008031042,599.4,5,0.07006369426751592,920.53,40.057314,64.02,1111.6200000000001,-0.40673889392035745,6069.29,0.5605095541401274,1,45.8
12596,1.62,5.22,6.4,90,2.0551618463895807,0.39905711819618617,356.2,2,0.21891891891891893,469.79999999999995,137.48940000000002,145.8,965.7,4.281882878245078,8487.0,2.1891891891891895,1,45.64
454,8.95,5.22,0.59,50,1.7199770158973378,-0.7163639095577086,323.2,1,5.628930817610063,261.0,261.47425,447.49999999999994,449.0,-6.432947907828224,2921.5,61.91823899371069,0,69.01
